n,e1,e2,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
5,0.60,0.20,0.22018054435837767,0.74,0.001353660477038116,0.38639588892771803,0.3,0.293324155960368,0.28153726107329313
10,0.60,0.20,0.18653722857406466,0.715,0.001996280427044715,0.40235433735518766,0.3125,0.40310750321049243,0.30672372719729213
15,0.60,0.20,0.19522792223279822,0.6875,0.00306602349473059,0.4081754652608594,0.2875,0.4703393210892196,0.33739056561410136
20,0.60,0.20,0.1931105402120849,0.7350000000000001,0.0022461531304009477,0.39263961040746076,0.2625,0.48748002048868333,0.35501225033571643
25,0.60,0.20,0.18089088104558723,0.73,0.0024226366519111637,0.3969141396148294,0.325,0.4918129916929376,0.3300180508359035
30,0.60,0.20,0.1830078246657252,0.705,0.0046903522100822295,0.419233949509664,0.275,0.4923425043641384,0.3650932839816613
35,0.60,0.20,0.1814862802937899,0.69,0.004252596311203482,0.4948193607561088,0.3125,0.543229124020044,0.3887453713924492
5,0.10,0.20,0.06426527140101218,0.29250000000000004,0.027847612349718977,4.293275481386701,0.2,0.9584468767966955,0.7841264770667955
10,0.10,0.20,0.09390285203220171,0.31999999999999995,0.011779822559245607,1.6876632322349743,0.175,0.8757506852557627,0.7128421278101139
15,0.10,0.20,0.1311085615526831,0.5775,0.011422325307225898,1.1410794547235859,0.19999999999999998,0.7172966675899188,0.5797306022003974
20,0.10,0.20,0.13441892658849747,0.5575,0.00806642889612567,1.0249009459699099,0.125,0.6381283507390607,0.5314970741688442
25,0.10,0.20,0.15760825130159,0.7275,0.004873694521840239,0.7221952578981705,0.2375,0.5384243596542839,0.4511625133523422
30,0.10,0.20,0.15863804536525775,0.7424999999999999,0.005513681075471166,0.5804090975550771,0.16249999999999998,0.5726110018694631,0.4448591152417083
35,0.10,0.20,0.15962490548662872,0.575,0.007608761438929769,0.680517842454001,0.3125,0.5788187980957311,0.44781020257771453
5,0.20,0.60,0.23529833540724693,0.6375,0.0070469963456758974,0.4053357916707795,0.24999999999999994,0.5843402912319371,0.35510944158100416
10,0.20,0.60,0.2610845843512559,0.6875,0.00639310396055767,0.3594368786894825,0.26249999999999996,0.5201036246086754,0.328758167952478
15,0.20,0.60,0.24441463690248896,0.62,0.007587981972716965,0.3362964116761872,0.275,0.5736486715334147,0.3172198061348377
20,0.20,0.60,0.23313155426564278,0.6575,0.008084497329713471,0.345383248787905,0.25,0.5719560387245328,0.320294410672081
25,0.20,0.60,0.2360889843532099,0.6450000000000001,0.010014387514635879,0.32742947812170015,0.3,0.6055651145513672,0.3496009082121559
30,0.20,0.60,0.22920835790772426,0.6675000000000001,0.008486265138837101,0.3519061146693878,0.2,0.5826563433880191,0.3468932514811363
35,0.20,0.60,0.23109878973544423,0.6325000000000001,0.00576230322944533,0.3522776602053793,0.22499999999999995,0.5517986151721425,0.30746440593743013
5,0.10,0.30,0.12982588659297023,0.6849999999999999,0.005718125493438191,2.2892778418532793,0.11249999999999998,0.8128092260871899,0.6477358135944504
10,0.10,0.30,0.13813203810827396,0.5850000000000001,0.009812276688138041,0.936394653240043,0.19999999999999998,0.714773131001033,0.5578412897105229
15,0.10,0.30,0.19448306690239608,0.6900000000000001,0.005595112724086416,0.7262101440794078,0.14999999999999997,0.5689211627141816,0.4118160296937807
20,0.10,0.30,0.1924650613808155,0.6575,0.0062921770378491755,0.5736573360171107,0.2125,0.5387471083837382,0.3730331340972683
25,0.10,0.30,0.1886215999645784,0.6875000000000001,0.007263602520607297,0.45556330542213647,0.18749999999999997,0.5290930509471246,0.41798306524392287
30,0.10,0.30,0.1934151926965104,0.7375,0.007185526677887137,0.49106568833679376,0.2125,0.532160548440433,0.392131580818861
35,0.10,0.30,0.18652675088501716,0.7175,0.006808040014911856,0.4052807371693696,0.2625,0.5122108766835997,0.38963754212786295
5,0.60,0.30,0.25810390118386634,0.6375,0.0020305611037395527,0.3779617859398686,0.275,0.3116086894678603,0.24048105059887606
10,0.60,0.30,0.22836101569636016,0.645,0.0027939704306472616,0.3701655902527562,0.22499999999999995,0.3964787094595463,0.2493641887692367
15,0.60,0.30,0.21316097272284593,0.6224999999999999,0.003461156978743546,0.3713480625434767,0.26249999999999996,0.46804578011699294,0.29058683573964783
20,0.60,0.30,0.2126777968277087,0.5850000000000001,0.00380034958214576,0.3886001158469233,0.275,0.5232845682085152,0.29403857343630185
25,0.60,0.30,0.2157037291365957,0.6399999999999999,0.0036300673626463555,0.4006526410648347,0.25,0.5025732616707659,0.3192338628700921
30,0.60,0.30,0.21578119325585296,0.6699999999999999,0.0035255027076491786,0.3881296763184796,0.2625,0.4951849598385915,0.3009658598496676
35,0.60,0.30,0.2188518612787064,0.6499999999999999,0.00688307638099246,0.38879205032080877,0.22499999999999995,0.5679843671667067,0.36261347719886516
5,0.20,0.70,0.24812388972894314,0.55,0.008771123985590972,0.38852249794768784,0.3,0.5805058797422145,0.3861062037408718
10,0.20,0.70,0.22797647583169917,0.5650000000000001,0.013125732863519595,0.37074620714580864,0.2875,0.6231461671730081,0.38725172997618557
15,0.20,0.70,0.23763963150683556,0.6199999999999999,0.006640083712346333,0.3287605388189272,0.2625,0.6031815874273355,0.32100800281680425
20,0.20,0.70,0.2529913423474611,0.5800000000000001,0.003957605970456882,0.36288431817796934,0.225,0.5264395773463343,0.2985903346896337
25,0.20,0.70,0.23110331176470417,0.605,0.01046992101507416,0.3695729828606854,0.21249999999999997,0.6421279450312696,0.35538562588909695
30,0.20,0.70,0.24036849040218308,0.64,0.00504528693495,0.3838956025315706,0.2125,0.5523741051108896,0.318762809403374
35,0.20,0.70,0.24220913453244516,0.5650000000000001,0.011064956491866413,0.3654331532144486,0.275,0.6256664305252998,0.36485470628073025
5,0.70,0.20,0.2324649872156582,0.6700000000000002,0.0023915522615207047,0.4228656438213922,0.3,0.29052541154226325,0.26414996009909364
10,0.70,0.20,0.21202821011806589,0.635,0.002875996848876832,0.4194835910978824,0.2875,0.4121447841313107,0.2936527326861884
15,0.70,0.20,0.20386196397900394,0.6125,0.0026641922774979657,0.4225520372843298,0.2875,0.4397210336202374,0.2904082124059054
20,0.70,0.20,0.20393152361630315,0.6675000000000001,0.004989746768607327,0.4076924462068773,0.3375,0.4999911973719907,0.3365522080238266
25,0.70,0.20,0.2073702909864354,0.6425,0.004390952579193114,0.4427344525308,0.3,0.5166514885939029,0.3265907716329313
30,0.70,0.20,0.20028905231311683,0.6475000000000001,0.004445825793292929,0.45928446676965373,0.27499999999999997,0.5158326720700235,0.34293244469726525
35,0.70,0.20,0.19362855946420837,0.6175,0.005451356236770455,0.4397210813273523,0.3,0.55450918392872,0.38040742493925184
5,0.30,0.60,0.259291933369999,0.6125,0.005701517459095251,0.3674289139358026,0.3125,0.5453173753171755,0.314978512459395
10,0.30,0.60,0.2536460255023151,0.6425,0.0054373059642162155,0.35675551127489114,0.25,0.5341019304847733,0.2950655567497553
15,0.30,0.60,0.24061500690346346,0.6775,0.0034032536704306135,0.38429714602803705,0.2375,0.5564475231131787,0.2817342018854661
20,0.30,0.60,0.23463722692595296,0.5575,0.0056944095636619115,0.35900398540403666,0.175,0.599245101192259,0.2848142336521738
25,0.30,0.60,0.24410324837464703,0.61,0.008613870922780403,0.3581258960270267,0.25,0.6029163853906638,0.3082377945823231
30,0.30,0.60,0.23274115343192534,0.545,0.009520189811770035,0.3901900205791826,0.225,0.653779580799984,0.33360223540704526
35,0.30,0.60,0.2354743543895709,0.64,0.0060218080244450346,0.36376702633325714,0.22499999999999995,0.5594783431173721,0.31204342975242283
5,0.20,0.50,0.21662455031328554,0.7175,0.004956357465207949,0.5657287527435806,0.2125,0.6248396488129293,0.42784969228384506
10,0.20,0.50,0.25294176642836014,0.7300000000000001,0.004222430611080393,0.43582272515599507,0.18749999999999997,0.4981255988963486,0.3399874490956854
15,0.20,0.50,0.2459437735111059,0.7325000000000002,0.005380246348565428,0.34396697516003627,0.2875,0.5341627631878259,0.3109255140461429
20,0.20,0.50,0.2305964836756506,0.72,0.00404506715154819,0.3249747748847067,0.18749999999999997,0.48692227819489114,0.3028065439060562
25,0.20,0.50,0.2082305123827289,0.7275,0.004720092267141768,0.33373178902900225,0.3,0.5262268120978071,0.3012386026273145
30,0.20,0.50,0.23235473823969835,0.5900000000000001,0.007467468846725024,0.35866368989208547,0.225,0.5897161751104947,0.3556062182830245
35,0.20,0.50,0.21182992625108774,0.63,0.00969234486876001,0.32235218541780336,0.2875,0.6016126553110467,0.3557755205419212
5,0.10,0.10,0.0484505764231765,0.05500000000000001,0.03247309055243654,6.697529339827983,0.19999999999999998,0.988440870510167,0.8332407623555014
10,0.10,0.10,0.05435453864313313,0.08499999999999999,0.03585932646488485,4.578993159517994,0.14999999999999997,0.980525472978105,0.801747648984235
15,0.10,0.10,0.05980208267599424,0.2825,0.027574848813809748,2.6822903468580566,0.21249999999999997,0.9519895755252428,0.7532480436186558
20,0.10,0.10,0.06967213935585628,0.32749999999999996,0.025526430537235033,2.4594448417490833,0.1875,0.9255319926509425,0.7243512635458116
25,0.10,0.10,0.0809907798502648,0.49749999999999994,0.015290414620890147,1.7667435480846692,0.16249999999999998,0.7954961928296201,0.651482656614075
30,0.10,0.10,0.07889156957901992,0.47000000000000003,0.016117029326089903,2.1600101498224844,0.13749999999999998,0.838861001511674,0.6532423131923234
35,0.10,0.10,0.10731562693184296,0.67,0.006645983114321408,1.3471685517190397,0.2125,0.6869789463263329,0.5615814274839654
5,0.60,0.10,0.19181136025522486,0.76,0.0012262191644084185,0.6280123832529514,0.3375,0.32686219256688875,0.3578230442396241
10,0.60,0.10,0.15054688873303573,0.7449999999999999,0.0017557274849591888,0.6480304499511161,0.3375,0.40893315925739604,0.35229543455486273
15,0.60,0.10,0.14942544974865876,0.7550000000000001,0.002165186084341331,0.5511605762930761,0.2875,0.4657474505165468,0.38386424152891807
20,0.60,0.10,0.14916042564387488,0.7424999999999999,0.002439207112418933,0.5990731083740185,0.3125,0.45951073656990654,0.3884919622373742
25,0.60,0.10,0.1379998330192366,0.76,0.0025369058268137935,0.6695814752911179,0.325,0.4615887548014415,0.3977820102513992
30,0.60,0.10,0.13287697256647102,0.7074999999999999,0.00336195575288136,0.5750311044138742,0.225,0.507897195621092,0.40420081396028423
35,0.60,0.10,0.1403733205134916,0.67,0.004710456814410392,0.71605742041064,0.3,0.5812363766165168,0.4161875844818435
5,0.10,0.80,0.26908273495339424,0.635,0.005094209550897172,0.4461658631501607,0.2625,0.6086412353538353,0.32810951471848926
10,0.10,0.80,0.2518889799088484,0.6124999999999999,0.008265706268420141,0.39668460979179837,0.2875,0.5568084898228396,0.30864902094616353
15,0.10,0.80,0.24680918815182057,0.595,0.010146856958946555,0.3767156795240009,0.25,0.6127733712086295,0.35522106153704514
20,0.10,0.80,0.26743075246286335,0.5774999999999999,0.00878555243785779,0.38664876041568064,0.23749999999999996,0.5422713441642268,0.31893364700560367
25,0.10,0.80,0.2533291070112823,0.5674999999999999,0.010731666431173662,0.36112647147746363,0.225,0.6303379747311506,0.37574334474475074
30,0.10,0.80,0.2566569743149003,0.5075,0.004656401268603286,0.37217713103089234,0.3125,0.5616122952219794,0.279754323868351
35,0.10,0.80,0.2283413197126003,0.605,0.00600094029761291,0.3468938628164591,0.3375,0.5929388432366147,0.3323155716022636
5,0.40,0.40,0.2492427596638997,0.71,0.0034644682157941946,0.38028471887114984,0.375,0.44252315322735064,0.23899503721551957
10,0.40,0.40,0.24168548136491283,0.7375,0.0031879597793434793,0.3294909291136799,0.25,0.4293424385384982,0.25021640637999365
15,0.40,0.40,0.21200300575659298,0.7025,0.005833484649081178,0.3209223061117473,0.2875,0.5600030479769232,0.2973925607862436
20,0.40,0.40,0.20628817179364872,0.7,0.003329635112862598,0.34261518116495826,0.3,0.5422456566430394,0.305943007283236
25,0.40,0.40,0.22186093805971283,0.6674999999999999,0.007656068091869606,0.3486788434632194,0.27499999999999997,0.5950947031906388,0.3335907821542761
30,0.40,0.40,0.20957779459284737,0.62,0.005232821234224154,0.3972902287338582,0.19999999999999998,0.5774602428226848,0.3225714394929903
35,0.40,0.40,0.20916799858213103,0.625,0.010820347942384862,0.3914624214810544,0.19999999999999998,0.6057178460906643,0.4109143662424005
5,0.30,0.40,0.22417456000948816,0.7250000000000001,0.004600596325550427,0.5646157858628407,0.25,0.5641179045988958,0.4005026405136933
10,0.30,0.40,0.24575823104648156,0.745,0.0025622390632519003,0.336424691332454,0.3375,0.45710446119381387,0.26398182670207954
15,0.30,0.40,0.21337025743310659,0.7075,0.004676193626949878,0.35052264436406677,0.275,0.5093345893818896,0.2956395922443795
20,0.30,0.40,0.20575179623768172,0.6824999999999999,0.0075169099986162665,0.36172811373825037,0.2375,0.5894787347777918,0.3268175717865778
25,0.30,0.40,0.20714240829017436,0.7,0.006711161522466859,0.3398374968220196,0.2625,0.5443052868891265,0.32394511719291785
30,0.30,0.40,0.20646339668944305,0.6300000000000001,0.007545964771523005,0.36808204081081225,0.22499999999999995,0.6065187464595281,0.36513864620980463
35,0.30,0.40,0.20292460692016495,0.6625,0.008624093260628574,0.36277724774807446,0.3125,0.5574508265246616,0.3495234982985786
5,0.30,0.50,0.2512058010124565,0.65,0.005044124737116069,0.43757286527962586,0.22499999999999995,0.5247290064051109,0.3599826071196536
10,0.30,0.50,0.2215513530096635,0.6925,0.006326647863011412,0.34042130266621806,0.2125,0.5411241632606159,0.3301393880145748
15,0.30,0.50,0.2351323132961681,0.71,0.003274518309550268,0.3664454260117408,0.19999999999999998,0.5041903131985987,0.2846688560433639
20,0.30,0.50,0.23474018817428094,0.6900000000000001,0.006698373560130135,0.33569676491758516,0.275,0.5599495841442018,0.301921288947163
25,0.30,0.50,0.23756411863979573,0.6724999999999999,0.006577337632248795,0.35632300935400546,0.22499999999999995,0.5253779662115132,0.3076254590583606
30,0.30,0.50,0.2357841107975282,0.6625,0.005852345006420015,0.36050919781785706,0.15,0.5896442822248779,0.3328896544435497
35,0.30,0.50,0.2217820708885922,0.705,0.004093882305416101,0.35505800919499764,0.22499999999999995,0.5233550239765032,0.3168013637266822
5,0.40,0.50,0.2654509117899701,0.6674999999999999,0.0028061074525148532,0.3505175083949429,0.275,0.3956343835786766,0.24921100997320492
10,0.40,0.50,0.23994875529445275,0.655,0.0029401664904360842,0.3480702678101685,0.19999999999999998,0.4734540838749739,0.26096749285271115
15,0.40,0.50,0.2384167417053309,0.6325000000000001,0.0059584125638558316,0.3658534613676912,0.14999999999999997,0.5625457302567933,0.316679536359584
20,0.40,0.50,0.2336201914683304,0.51,0.004809333532803868,0.384534794985666,0.175,0.5163327827252024,0.27095341107979576
25,0.40,0.50,0.23045418968709255,0.6174999999999999,0.0063790014008805575,0.3870085649997407,0.22499999999999995,0.5782910713168703,0.3023674199769737
30,0.40,0.50,0.23279875057300065,0.615,0.008477067558164623,0.38010861139304997,0.2875,0.6036635452992856,0.34729716181292514
35,0.40,0.50,0.23785630267263094,0.6425,0.003969338448999101,0.38991815749999437,0.175,0.4787347081603632,0.26096727615351367
5,0.70,0.10,0.17939615860207578,0.765,0.0016248350600521332,0.4790411982540258,0.325,0.33340547652801983,0.3657300305722223
10,0.70,0.10,0.15923712009267357,0.7224999999999999,0.0022189865486952373,0.5628181603952416,0.27499999999999997,0.42589546556149516,0.37484141851902386
15,0.70,0.10,0.16131290050356376,0.715,0.0021467193671280945,0.5794992077990425,0.275,0.44241427490408036,0.3772294563665598
20,0.70,0.10,0.1514488806307328,0.72,0.002259585423194806,0.6629887256656011,0.325,0.4523818257059832,0.3667016018656044
25,0.70,0.10,0.15661150054553125,0.7175,0.0031340367687719773,0.746290037488697,0.3,0.5226583312810626,0.40676376883451004
30,0.70,0.10,0.15769817615735296,0.5549999999999999,0.00566336035840587,0.7408399193484986,0.275,0.5534747468298736,0.43425170745020586
35,0.70,0.10,0.15160089063657725,0.55,0.005308571165547223,0.8381761718882401,0.2875,0.5821578633884255,0.42374353728753505
5,0.20,0.40,0.1762441446658657,0.5700000000000001,0.010594578284615873,0.7754087729579042,0.16249999999999998,0.7039494097105096,0.4911334424004387
10,0.20,0.40,0.23033453191879483,0.6675,0.005744624940797649,0.4236132454411661,0.19999999999999998,0.558098816030386,0.4108896316456545
15,0.20,0.40,0.21394722440435648,0.72,0.0049913705110390515,0.3439808544343589,0.3,0.5027743392562777,0.31109627061727674
